"","LAKE_ID","SAMPLE_ID","SAMPLE_NAME","LOCATION_ID","DATA_PROVIDER","SAMPLE_DATE","TIME","LAKE_PROJ_CODE","Characteristic.Name","Result.Value","Result.Unit","Result.Sample.Fraction","Depth","WATER","LocationName","Y_Coordinate","X_Coordinate","INFO_TYPE","Waterbody_Classification","PWLID","LAB_NAME_CODE","year","ACRES","County","PWS","Beaches","REMARK","STATUS","QUANTITATION_LIMIT","VALIDATOR_QUALIFIERS","INTERPRETED_QUALIFIERS"
"18","0902EAG0083",173,"16-215-02","0902EAG0083_C","CSL",2016-06-26,"09:15:00","215","QB","2",NA,NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No","Comments-Lots of floating algae today",NA,NA,"none",NA
"19","0902EAG0083",173,"16-215-02","0902EAG0083_C","CSL",2016-06-26,"09:15:00","215","PHOSPHORUS",".013099999999999999","mg/L","T",NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No","Comments-Lots of floating algae today",NA,"3.8","none",NA
"20","0902EAG0083",181,"16-215-B2","0902EAG0083_C","CSL",2016-06-26,NA,"215","DIHYDRO-ATX-A","<0.01","ug/L",NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"SB","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No",NA,NA,NA,"none",NA
"21","0902EAG0083",181,"16-215-B2","0902EAG0083_C","CSL",2016-06-26,NA,"215","DIHYDRO-ATX-A","17800","ug/L",NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"SB","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No",NA,NA,NA,"none",NA
"22","0902EAG0083",346,"16-215-03","0902EAG0083_C","CSL",2016-07-03,"08:45:00","215","QD","0",NA,NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No","Weather-Heavy rain on Tuesday 06/28.  Pond level up 2"" as observed on dock.  Cool night ~48F",NA,NA,"none",NA
"23","0902EAG0083",346,"16-215-03","0902EAG0083_C","CSL",2016-07-03,"08:45:00","215","SPECIFIC CONDUCTANCE","215.9","uS/cm",NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No","Weather-Heavy rain on Tuesday 06/28.  Pond level up 2"" as observed on dock.  Cool night ~48F",NA,"10","none",NA
"24","0902EAG0083",346,"16-215-03","0902EAG0083_C","CSL",2016-07-03,"08:45:00","215","QF","0",NA,NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No","Weather-Heavy rain on Tuesday 06/28.  Pond level up 2"" as observed on dock.  Cool night ~48F",NA,NA,"none",NA
"25","0902EAG0083",346,"16-215-03","0902EAG0083_C","CSL",2016-07-03,"08:45:00","215","QB","2",NA,NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No","Weather-Heavy rain on Tuesday 06/28.  Pond level up 2"" as observed on dock.  Cool night ~48F",NA,NA,"none",NA
"26","0902EAG0083",346,"16-215-03","0902EAG0083_C","CSL",2016-07-03,"08:45:00","215","DEPTH, SECCHI DISK DEPTH","1.4","m",NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"SD","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No","Weather-Heavy rain on Tuesday 06/28.  Pond level up 2"" as observed on dock.  Cool night ~48F",NA,NA,"none",NA
"27","0902EAG0083",346,"16-215-03","0902EAG0083_C","CSL",2016-07-03,"08:45:00","215","NITROGEN, TOTAL",".28699999999999998","mg/L","T",NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No","Weather-Heavy rain on Tuesday 06/28.  Pond level up 2"" as observed on dock.  Cool night ~48F",NA,"307","none",NA
